種類,情報カテゴリ,メニュー名,情報カテゴリ_メニュー名,強度,情報カテゴリ_強度,メニューの説明,情報カテゴリ_意識,得られる効果,適切な年齢
ウォーミングアップ・モビリティ向上,カテゴリ,ダイナミックストレッチ,メニュー名,1,強度,可動域の拡大と筋温の上昇を意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,セルフマッサージ,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,交代浴,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,睡眠と栄養,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,ストレッチ,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,ハードルフォームでのストレッチ,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,アイシング,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,その場でのハードルフォームドリル,メニュー名,1,強度,フォームの定着と身体感覚の確認,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,ウォールドリル,メニュー名,1,強度,前傾姿勢と足の切り替えタイミングを意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,ハードルウォークドリル,メニュー名,1,強度,正しい股関節の動きと姿勢保持,意識・目的,フォーム改善 柔軟性向上 スピード,13
コンディショニング・リカバリー,カテゴリ,メンタルケア,メニュー名,1,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,モビリティエクササイズ,メニュー名,1,強度,関節の動きを滑らかにする意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,レッグスウィング,メニュー名,1,強度,股関節のスムーズな動作と振り出しの軌道,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,肩甲骨・胸鎖関節ほぐし,メニュー名,1,強度,肩の可動域拡大と脱力の意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,カーフモビリティ,メニュー名,1,強度,ふくらはぎの可動域と柔軟性を意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,グルートアクティベーション,メニュー名,1,強度,お尻の筋肉を意図的に使う感覚を養う,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,ヒール・トゥーウォーク,メニュー名,1,強度,接地位置と足首の可動域を意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,腹圧トレーニング,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,コアトレーニング,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,ヨガ・ピラティス,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,5歩ハードル,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,ラダードリル,メニュー名,2,強度,細かいステップとリズムのコントロールを意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,メディシンボール投げ,メニュー名,2,強度,全身の連動性とタイミング,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,接地トレーニング,メニュー名,2,強度,地面との接地時間と反力方向の意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,ジョギング,メニュー名,2,強度,リラックスしたフォームとリズムを意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,SD（スターティングブロック）,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,マーカー走,メニュー名,2,強度,視野と判断力を含めた動作反応の意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,スキップ（A/B/Cスキップ）,メニュー名,2,強度,脚の動きとテンポの一致を意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,ハードルスキップドリル,メニュー名,2,強度,連続動作でのリズム感と切り替え意識,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,1台アプローチ,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,段差での接地トレーニング,メニュー名,2,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,スプリントスキップ,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,アジリティトレーニング,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,テンポ走,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,ボックスジャンプ,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,20m加速スプリント,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,上半身トレーニング,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
ウォーミングアップ・モビリティ向上,カテゴリ,バウンディング,メニュー名,3,強度,地面反力の活用と跳躍方向のコントロール,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,ショートダッシュ［30～50m］,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,バイクトレーニング,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,刻みハードル,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,片脚ジャンプドリル,メニュー名,3,強度,左右差の確認と軸足の安定性,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,ハードルジャンプ（サイド）,メニュー名,3,強度,バランスと空中動作のコントロール,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,1歩ハードル,メニュー名,3,強度,切り替えスピードとリズムの一貫性,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,ウェーブ走,メニュー名,3,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,片足クイックリフト,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,クイックリフト,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,ジャンプスクワット,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,プライオメトリクストレーニング,メニュー名,4,強度,反発の素早さと筋出力の最大化,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,サーキットトレーニング,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,階段ダッシュ,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,スクワット・デッドリフト・ヒップスラスト,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
基礎技術（リズム・動作の習得）,カテゴリ,プライオメトリクストレーニング,メニュー名,4,強度,反発の素早さと筋出力の最大化,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,アプローチ練習（3～10台）,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,中抜きハードル,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,5歩ハードル［ロングインターバル］,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
筋力強化,カテゴリ,ノルディックハム・RDL,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,坂ダッシュ,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,坂ハードル,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,シャトル走,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,アシステッドトレーニング,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,スピードバウンディング,メニュー名,4,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,ロングショートハードル,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,ロングスプリント［300mなど］,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,シャトルハードル,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,セット走［150×6など］,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
専門技術（ハードル練習）,カテゴリ,12台ハードル,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,砂浜走,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
スプリント強化,カテゴリ,スレッドトレーニング,メニュー名,5,強度,各動作の目的を明確にして意識的に取り組む,意識・目的,フォーム改善 柔軟性向上 スピード,13
